tmin,tmax,nbins,model,tau,etau,dev_over_ndf,rms_rD,nll
1.00000000,18.00000000,300,ExpBkg,2.10135925,0.03789735,1.10454460,1.04507400,164.02487282
1.00000000,18.00000000,400,ExpBkg,2.10088180,0.03789714,1.08879348,1.03875918,216.12550623
1.00000000,20.00000000,150,ExpBkg,2.13579414,0.03768472,1.36078920,1.15432791,100.01800535
1.00000000,20.00000000,200,ExpBkg,2.13405491,0.03764801,1.37577208,1.16348781,135.51354902
1.00000000,20.00000000,250,ExpBkg,2.13450875,0.03765318,1.28788441,1.12734003,159.05372405
1.00000000,20.00000000,300,ExpBkg,2.13574992,0.03766985,1.22926862,1.10240491,182.54638948
1.00000000,20.00000000,400,ExpBkg,2.13508901,0.03765940,1.16454433,1.07417015,231.16204959
1.20000000,12.00000000,150,ExpBkg,2.09665421,0.05098611,1.06290465,1.02027202,78.12349113
1.20000000,12.00000000,200,ExpBkg,2.09742372,0.05101512,1.19684362,1.08524042,117.88909631
1.20000000,12.00000000,250,ExpBkg,2.09742181,0.05101370,1.24127187,1.10667860,153.29707685
1.20000000,12.00000000,300,ExpBkg,2.09742405,0.05102083,1.11266061,1.04883897,165.23010256
1.20000000,12.00000000,400,ExpBkg,2.09794873,0.05104294,1.28566769,1.12851475,255.20503545
1.20000000,15.00000000,150,ExpBkg,2.09260635,0.04373294,1.22149971,1.09371467,89.78022799
1.20000000,15.00000000,200,ExpBkg,2.09379358,0.04375526,1.16116123,1.06895316,114.37438049
1.20000000,15.00000000,250,ExpBkg,2.09259562,0.04373482,1.18472646,1.08124744,146.31371720
1.20000000,15.00000000,300,ExpBkg,2.09399214,0.04376235,1.17636474,1.07842405,174.69016445
1.20000000,15.00000000,400,ExpBkg,2.09340608,0.04375201,1.23094792,1.10426587,244.34316045
1.20000000,18.00000000,150,ExpBkg,2.08336570,0.04017125,1.28503273,1.12182416,94.44990594
1.20000000,18.00000000,200,ExpBkg,2.08204827,0.04015712,1.16747473,1.07191460,114.99625901
1.20000000,18.00000000,250,ExpBkg,2.08294204,0.04016499,1.21950799,1.09707775,150.60923794
1.20000000,18.00000000,300,ExpBkg,2.08402636,0.04017955,1.15299538,1.06774364,171.21981374
1.20000000,18.00000000,400,ExpBkg,2.08340112,0.04017337,1.23403607,1.10578837,244.95615974
1.20000000,20.00000000,150,ExpBkg,2.12022698,0.03999957,1.49873097,1.21138045,110.15672462
1.20000000,20.00000000,200,ExpBkg,2.11983615,0.03997849,1.37418000,1.16279735,135.35673061
1.20000000,20.00000000,250,ExpBkg,2.11968107,0.03998002,1.33170476,1.14631754,164.46553876
1.20000000,20.00000000,300,ExpBkg,2.12036749,0.03997852,1.34405313,1.15261299,199.59189025
1.20000000,20.00000000,400,ExpBkg,2.12025353,0.03998024,1.26971587,1.12152774,252.03859994
1.40000000,12.00000000,150,ExpBkg,2.10116839,0.05537259,1.23204091,1.09838152,90.55500653
1.40000000,12.00000000,200,ExpBkg,2.10143261,0.05539439,1.30795058,1.13443094,128.83313223
1.40000000,12.00000000,250,ExpBkg,2.10180964,0.05541209,1.35325446,1.15556239,167.12692697
1.40000000,12.00000000,300,ExpBkg,2.10048434,0.05536239,1.24665845,1.11005393,185.12877897
